iter	Logloss
201	0.1696497943
202	0.1696258898
203	0.1695937266
204	0.1695632199
205	0.1695265513
206	0.1695052171
207	0.1694804444
208	0.1694358573
209	0.1694078269
210	0.1693974237
211	0.1693468476
212	0.1693143861
213	0.1692683313
214	0.1692215315
215	0.1691789774
216	0.1691510396
217	0.1691243169
218	0.1691009456
219	0.1690676665
220	0.1690424362
221	0.1690050309
222	0.1689914845
223	0.1689495192
224	0.1689110831
225	0.1688884685
226	0.1688671858
227	0.1688498674
228	0.168801804
229	0.1687714872
230	0.1687508511
231	0.1687248856
232	0.1686860847
233	0.1686685823
234	0.1686297324
235	0.1686068022
236	0.1685714715
237	0.1685576934
238	0.1685294055
239	0.1684961883
240	0.1684592308
241	0.1684278337
242	0.1683884528
243	0.1683647096
244	0.1683597236
245	0.1683179679
246	0.1682816649
247	0.1682442512
248	0.1682065785
249	0.1681733615
250	0.1681486482
251	0.1681224637
252	0.1680934814
253	0.1680527774
254	0.1680178345
255	0.1679841837
256	0.1679529742
257	0.1679012983
258	0.1678700677
259	0.1678591224
260	0.1678391675
261	0.1677977064
262	0.1677657842
263	0.1677401554
264	0.1677071544
265	0.1676669378
266	0.167647212
267	0.1676063698
268	0.1675990237
269	0.1675658305
270	0.1675538813
271	0.1675237186
272	0.1674839548
273	0.1674549077
274	0.1674224376
275	0.1674114983
276	0.1673882699
277	0.1673699571
278	0.1673305127
279	0.16729349
280	0.1672649286
281	0.1672324059
282	0.1672000402
283	0.1671740335
284	0.1671543444
285	0.1671117832
286	0.1670790346
287	0.1670522285
288	0.1670008085
289	0.1669657538
290	0.1669317292
291	0.1668932164
292	0.1668692116
293	0.166834205
294	0.1667990465
295	0.1667422146
296	0.1667010067
297	0.1666808082
298	0.1666499988
299	0.166621858
300	0.1665923993
301	0.1665548967
302	0.1665370932
303	0.1665230275
304	0.1665080926
305	0.1664764315
306	0.166448696
307	0.1663949522
308	0.1663618698
309	0.1663281051
310	0.1662993167
311	0.1662798822
312	0.1662598011
313	0.166234252
314	0.1662129222
315	0.1661810218
316	0.1661305622
317	0.1660983368
318	0.1660634581
319	0.1660237363
320	0.1659908485
321	0.1659821005
322	0.1659496519
323	0.1659277269
324	0.1658944164
325	0.1658625896
326	0.1658439711
327	0.1658263306
328	0.1657923897
329	0.1657688828
330	0.1657473967
331	0.1657170026
332	0.1657108264
333	0.1656809819
334	0.1656788943
335	0.1656486435
336	0.1656121529
337	0.1655871563
338	0.1655701418
339	0.1655499397
340	0.1655327493
341	0.1655079777
342	0.1654795106
343	0.1654516099
344	0.1654165936
345	0.1654033723
346	0.165374812
347	0.1653523827
348	0.1653053252
349	0.165290759
350	0.1652553787
351	0.165231106
352	0.1651914425
353	0.1651641672
354	0.1651456004
355	0.1651068941
356	0.1650841629
357	0.1650592334
358	0.1650475509
359	0.1650106971
360	0.1649768659
361	0.1649473041
362	0.1649179424
363	0.164894011
364	0.1648721554
365	0.1648555147
366	0.1648261892
367	0.164796577
368	0.1647780522
369	0.1647584028
370	0.1647177811
371	0.1646922753
372	0.1646860966
373	0.1646612769
374	0.1646469125
375	0.1646142071
376	0.1646034909
377	0.16459053
378	0.1645653393
379	0.1645527971
380	0.1645386256
381	0.1645167184
382	0.1644757509
383	0.1644447491
384	0.1644231682
385	0.1643982389
386	0.1643705146
387	0.1643411339
388	0.1643178755
389	0.1642886616
390	0.1642572627
391	0.1642322884
392	0.164194015
393	0.1641563786
394	0.1641204399
395	0.1640758727
396	0.1640653951
397	0.1640544906
398	0.1640334216
399	0.1640178893
400	0.1639903731
401	0.1639590815
402	0.1639586666
403	0.1639371008
404	0.1638984404
405	0.1638689513
406	0.163839217
407	0.1638008125
408	0.1637710025
409	0.163759202
410	0.1637395266
411	0.1637083582
412	0.1636699314
413	0.1636461932
414	0.1636180722
415	0.1635780319
416	0.163560735
417	0.1635419291
418	0.1635129502
419	0.1634769346
420	0.1634575241
421	0.1634196032
422	0.1633964048
423	0.1633583651
424	0.1633536427
425	0.1633235323
426	0.1633201129
427	0.1632824903
428	0.1632549092
429	0.1632204604
430	0.1631926865
431	0.1631650645
432	0.1631446681
433	0.1631223427
434	0.1631023647
435	0.163079663
436	0.1630542279
437	0.1630414718
438	0.1630225424
439	0.1629851177
440	0.1629548179
441	0.1629359991
442	0.1629072816
443	0.1628805942
444	0.1628463083
445	0.16281545
446	0.1627733013
447	0.1627472392
448	0.1627187227
449	0.1626875237
450	0.1626610821
451	0.1626266113
452	0.1625892204
453	0.1625684321
454	0.1625367621
455	0.1625254143
456	0.1624931222
457	0.1624727777
458	0.1624571966
459	0.1624387805
460	0.1624111396
461	0.1623846779
462	0.1623654256
463	0.1623377988
464	0.1623171821
465	0.162292101
466	0.1622607342
467	0.162230537
468	0.1621955473
469	0.1621572872
470	0.1621298501
471	0.1621068211
472	0.1620685043
473	0.1620364582
474	0.1619994469
475	0.1619714747
476	0.1619345904
477	0.1619074022
478	0.1618876537
479	0.1618680013
480	0.1618368269
481	0.161810813
482	0.1617859584
483	0.1617630685
484	0.1617321931
485	0.161699195
486	0.1616714722
487	0.1616489891
488	0.1616357949
489	0.1616109128
490	0.1615910817
491	0.1615717775
492	0.1615512498
493	0.1615299425
494	0.1614994316
495	0.1614811731
496	0.1614647623
497	0.1614495401
498	0.1614304694
499	0.1614240175
500	0.1613942785
501	0.1613880617
502	0.1613764711
503	0.1613657352
504	0.161340909
505	0.1613179557
506	0.1612891316
507	0.1612675614
508	0.1612501939
509	0.1612277476
510	0.1612146591
511	0.161197562
512	0.1611719585
513	0.1611307954
514	0.1611174636
515	0.1611111054
516	0.1610642081
517	0.1610284526
518	0.1610032336
519	0.1609982822
520	0.1609791184
521	0.1609572612
522	0.1609273823
523	0.1609152007
524	0.1608843238
525	0.160868495
526	0.1608421833
527	0.1608253122
528	0.1608064844
529	0.1607864074
530	0.1607638458
531	0.1607353777
532	0.1607041014
533	0.1606901615
534	0.1606597264
535	0.1606350015
536	0.1606021224
537	0.1605779489
538	0.1605480815
539	0.1605091006
540	0.160474188
541	0.1604545882
542	0.1604302401
543	0.1604043124
544	0.1603804391
545	0.1603566125
546	0.1603421581
547	0.1603167992
548	0.1603016018
549	0.1602937062
550	0.1602727659
551	0.1602563231
552	0.1602328157
553	0.1602099642
554	0.1601914952
555	0.1601599152
556	0.1601381722
557	0.1601296046
558	0.1601134844
559	0.1600801801
560	0.1600661513
561	0.1600350929
562	0.1600036202
563	0.1599776055
564	0.1599419269
565	0.1599284484
566	0.1598897084
567	0.1598746687
568	0.1598456732
569	0.1598323726
570	0.1597989799
571	0.1597826717
572	0.1597715834
573	0.1597506084
574	0.1597153449
575	0.1596909196
576	0.1596563241
577	0.1596411334
578	0.159629666
579	0.1596043751
580	0.1595793125
581	0.1595373001
582	0.1595200686
583	0.1594883119
584	0.1594529752
585	0.1594383634
586	0.1594249158
587	0.159414836
588	0.1593799501
589	0.1593669833
590	0.1593289324
591	0.1593162393
592	0.1593037529
593	0.1592908611
594	0.1592627254
595	0.1592336767
596	0.1592116667
597	0.1591882394
598	0.15916019
599	0.1591518559
600	0.1591443803
601	0.1591185822
602	0.1590767657
603	0.159043871
604	0.1590269262
605	0.1590178522
606	0.1589907026
607	0.1589783318
608	0.1589735604
609	0.1589585109
610	0.158935301
611	0.15890475
612	0.1588867896
613	0.1588579613
614	0.1588247603
615	0.158809635
616	0.1587941732
617	0.1587748266
618	0.1587573977
619	0.1587326165
620	0.1587149669
621	0.1587006978
622	0.1586838379
623	0.1586574542
624	0.1586439466
625	0.1586408834
626	0.1586208774
627	0.1585873657
628	0.1585753541
629	0.1585707537
630	0.1585597501
631	0.1585435063
632	0.1585245644
633	0.1584929712
634	0.1584810445
635	0.1584446363
636	0.1584239233
637	0.1584198672
638	0.1583932937
639	0.1583735988
640	0.158341254
641	0.1583238002
642	0.1582937486
643	0.1582688181
644	0.1582415065
645	0.1582210364
646	0.158206046
647	0.1581780681
648	0.1581498691
649	0.1581369223
650	0.1581016712
651	0.1580710587
652	0.158060816
653	0.1580523796
654	0.1580300652
655	0.1580158234
656	0.1580077565
657	0.1579831207
658	0.1579678481
659	0.1579447737
660	0.1579223448
661	0.1579158925
662	0.1578877234
663	0.1578744444
664	0.1578350637
665	0.157798066
666	0.1577761036
667	0.1577527295
668	0.1577434127
669	0.1577133676
670	0.1576966306
671	0.1576768145
672	0.157646428
673	0.1576176558
674	0.1576103673
675	0.1575887176
676	0.15757119
677	0.1575450522
678	0.1575174703
679	0.1574830824
680	0.1574620833
681	0.157440845
682	0.1574269515
683	0.1573983012
684	0.1573679797
685	0.157342846
686	0.1573160894
687	0.1572730664
688	0.1572585091
689	0.1572352281
690	0.1572071019
691	0.1571848307
692	0.157172457
693	0.1571503524
694	0.1571266991
695	0.1571036482
696	0.1570815346
697	0.1570648654
698	0.157026221
699	0.157007249
700	0.1569965938
701	0.1569761997
702	0.1569713458
703	0.156944249
704	0.1569217476
705	0.156902509
706	0.1568951187
707	0.1568761601
708	0.1568492522
709	0.1568273493
710	0.1568119356
711	0.1568070739
712	0.1567798687
713	0.1567555811
714	0.1567424852
715	0.1567233305
716	0.1567048406
717	0.1566876074
718	0.1566684211
719	0.1566634892
720	0.1566473972
721	0.1566347353
722	0.1566000982
723	0.1565849014
724	0.1565710781
725	0.1565562208
726	0.156533022
727	0.1565045158
728	0.1564978034
729	0.1564760973
730	0.1564594716
731	0.1564293599
732	0.1564155061
733	0.1563875807
734	0.1563695758
735	0.1563500672
736	0.1563246001
737	0.1563101536
738	0.1562829575
739	0.156257738
740	0.1562313065
741	0.1562173847
742	0.1561951484
743	0.156171854
744	0.1561550664
745	0.1561299801
746	0.1561202881
747	0.1560957583
748	0.1560849994
749	0.1560702575
750	0.1560532654
751	0.1560310364
752	0.1560127539
753	0.1559770613
754	0.1559496326
755	0.1559158563
756	0.1558910063
757	0.155867874
758	0.1558482579
759	0.1558344746
760	0.15581468
761	0.1557891238
762	0.1557669925
763	0.1557387185
764	0.155712587
765	0.1556906284
766	0.1556571128
767	0.1556293757
768	0.1555990296
769	0.155572918
770	0.1555671527
771	0.1555379119
772	0.1555119095
773	0.1555061667
774	0.15548447
775	0.155472097
776	0.155451773
777	0.1554269629
778	0.1553992516
779	0.1553904267
780	0.1553727995
781	0.1553431262
782	0.155332429
783	0.1553091317
784	0.1552814421
785	0.1552615715
786	0.1552380655
787	0.1552252286
788	0.1552182464
789	0.1552128776
790	0.1551914943
791	0.1551649932
792	0.1551360975
793	0.155113295
794	0.1550887927
795	0.1550718736
796	0.1550541311
797	0.155029547
798	0.1550052706
799	0.1549900859
800	0.1549719479
801	0.1549605752
802	0.1549396945
803	0.1549210213
804	0.1548891876
805	0.154873938
806	0.1548467834
807	0.1548159063
808	0.1547947705
809	0.154754615
810	0.1547345543
811	0.1547137956
812	0.1546992496
813	0.1546833212
814	0.1546575049
815	0.1546404037
816	0.1546170486
817	0.1546047661
818	0.1545767682
819	0.1545632092
820	0.1545557973
821	0.1545394683
822	0.1545252567
823	0.1545159333
824	0.1544772139
825	0.1544600688
826	0.1544376664
827	0.1544195986
828	0.1543937445
829	0.1543648703
830	0.154346411
831	0.1543295134
832	0.1543129704
833	0.1543018677
834	0.1542910745
835	0.154261156
836	0.154232482
837	0.1542023114
838	0.1541831656
839	0.1541629707
840	0.1541440921
841	0.1541412733
842	0.15412966
843	0.1541175888
844	0.1541009394
845	0.1540797745
846	0.1540567895
847	0.1540314463
848	0.1540037513
849	0.1539833858
850	0.1539568043
851	0.1539387812
852	0.1539102667
853	0.1538943041
854	0.1538820491
855	0.1538659085
856	0.153834184
857	0.1538121585
858	0.153787496
859	0.1537635879
860	0.1537461355
861	0.153716615
862	0.1536893699
863	0.1536656661
864	0.1536376137
865	0.1536243833
866	0.1536086845
867	0.1535807873
868	0.1535689904
869	0.1535440768
870	0.1535202337
871	0.1534923467
872	0.1534818408
873	0.153475853
874	0.1534544633
875	0.1534406211
876	0.1534156707
877	0.1534040915
878	0.1533828629
879	0.1533680179
880	0.1533580652
881	0.1533353574
882	0.1533177662
883	0.1532924393
884	0.1532772911
885	0.1532469006
886	0.1532319692
887	0.1531954986
888	0.1531799272
889	0.1531521063
890	0.1531322019
891	0.1531036944
892	0.1530947604
893	0.1530853428
894	0.1530540563
895	0.1530295863
896	0.1530129176
897	0.1529908018
898	0.1529883446
899	0.1529634391
900	0.1529410812
901	0.1529163387
902	0.1528939825
903	0.1528803601
904	0.1528658696
905	0.1528476986
906	0.1528240049
907	0.1528113505
908	0.1527881095
909	0.1527668596
910	0.1527464795
911	0.15272607
912	0.1527145752
913	0.1526992125
914	0.1526807117
915	0.1526584525
916	0.1526441511
917	0.1526310933
918	0.1526006554
919	0.1525853938
920	0.1525633807
921	0.1525526869
922	0.152527096
923	0.1525032495
924	0.1524763962
925	0.1524661664
926	0.1524561797
927	0.1524469477
928	0.1524290639
929	0.1524073981
930	0.1523920413
931	0.1523767985
932	0.1523536716
933	0.1523290637
934	0.1523151859
935	0.152287979
936	0.1522696505
937	0.1522391225
938	0.1522282787
939	0.1522044355
940	0.1521925274
941	0.1521701426
942	0.152158623
943	0.1521329851
944	0.1521249325
945	0.1520950148
946	0.1520676032
947	0.1520472254
948	0.1520202211
949	0.1520054408
950	0.1519896144
951	0.1519742466
952	0.1519531093
953	0.151932175
954	0.151912005
955	0.1519010996
956	0.1518882249
957	0.1518778201
958	0.151863129
959	0.1518532823
960	0.1518285807
961	0.1518081522
962	0.1517864826
963	0.1517717375
964	0.1517540435
965	0.1517162692
966	0.1516776982
967	0.1516529909
968	0.1516337483
969	0.1516078149
970	0.1515888126
971	0.1515562318
972	0.1515391266
973	0.151524239
974	0.1514920031
975	0.1514690187
976	0.1514518476
977	0.1514272475
978	0.1514031441
979	0.1513809243
980	0.1513511986
981	0.1513438563
982	0.1513395849
983	0.1513209419
984	0.1512973439
985	0.1512855511
986	0.151265591
987	0.1512346434
988	0.1512150841
989	0.1511868122
990	0.1511780201
991	0.151144991
992	0.1511209122
993	0.1511024514
994	0.1510780835
995	0.1510571314
996	0.1510402446
997	0.1510195088
998	0.1509986395
999	0.1509762008
