iter	Passed	Remaining
408	4968	7179
409	4980	7167
410	4992	7154
411	5003	7140
412	5014	7127
413	5025	7113
414	5037	7100
415	5049	7088
416	5060	7074
417	5071	7061
418	5082	7048
419	5093	7034
420	5105	7021
421	5118	7010
422	5130	6998
423	5142	6985
424	5153	6972
425	5165	6960
426	5176	6946
427	5188	6934
428	5200	6922
429	5213	6910
430	5225	6898
431	5237	6886
432	5250	6874
433	5262	6862
434	5273	6849
435	5285	6837
436	5298	6826
437	5311	6814
438	5322	6802
439	5335	6790
440	5347	6778
441	5359	6766
442	5372	6754
443	5384	6742
444	5396	6730
445	5408	6718
446	5420	6706
447	5432	6693
448	5444	6681
449	5457	6669
450	5469	6657
451	5480	6644
452	5492	6632
453	5504	6619
454	5515	6605
455	5525	6592
456	5536	6578
457	5547	6565
458	5558	6551
459	5569	6537
460	5580	6524
461	5591	6510
462	5601	6496
463	5613	6484
464	5626	6473
465	5638	6461
466	5651	6450
467	5663	6438
468	5675	6426
469	5688	6414
470	5699	6401
471	5711	6389
472	5724	6377
473	5736	6365
474	5747	6353
475	5759	6340
476	5771	6327
477	5783	6315
478	5795	6303
479	5807	6290
480	5818	6278
481	5830	6266
482	5842	6253
483	5853	6240
484	5866	6229
485	5877	6216
486	5890	6204
487	5902	6193
488	5914	6180
489	5926	6168
490	5938	6156
491	5950	6144
492	5962	6131
493	5974	6119
494	5986	6106
495	5998	6095
496	6010	6083
497	6022	6070
498	6033	6057
499	6044	6044
500	6055	6031
501	6066	6018
502	6077	6004
503	6087	5991
504	6098	5977
505	6109	5964
506	6121	5952
507	6133	5940
508	6145	5927
509	6157	5915
510	6168	5902
511	6181	5891
512	6193	5879
513	6205	5867
514	6218	5856
515	6230	5843
516	6242	5832
517	6254	5820
518	6266	5807
519	6277	5794
520	6289	5782
521	6300	5769
522	6312	5757
523	6324	5745
524	6337	5733
525	6348	5720
526	6361	5709
527	6372	5696
528	6384	5684
529	6396	5672
530	6409	5661
531	6422	5649
532	6434	5637
533	6445	5624
534	6458	5613
535	6470	5601
536	6482	5589
537	6494	5576
538	6506	5564
539	6518	5552
540	6530	5540
541	6540	5527
542	6552	5514
543	6563	5501
544	6574	5488
545	6585	5475
546	6596	5462
547	6607	5449
548	6617	5436
549	6629	5424
550	6642	5412
551	6654	5400
552	6666	5388
553	6678	5376
554	6690	5364
555	6702	5352
556	6714	5340
557	6726	5327
558	6738	5315
559	6750	5304
560	6762	5291
561	6775	5280
562	6787	5268
563	6799	5256
564	6811	5244
565	6824	5232
566	6835	5220
567	6848	5208
568	6859	5196
569	6872	5184
570	6884	5172
571	6896	5160
572	6908	5148
573	6921	5136
574	6932	5124
575	6945	5112
576	6958	5101
577	6970	5089
578	6982	5077
579	6995	5065
580	7007	5053
581	7018	5040
582	7029	5027
583	7040	5015
584	7052	5002
585	7062	4989
586	7073	4976
587	7084	4963
588	7095	4951
589	7106	4938
590	7117	4925
591	7127	4912
592	7138	4899
593	7150	4887
594	7163	4875
595	7176	4864
596	7188	4852
597	7200	4840
598	7212	4828
599	7223	4815
600	7236	4804
601	7249	4792
602	7260	4780
603	7272	4768
604	7285	4756
605	7297	4744
606	7309	4732
607	7320	4720
608	7333	4708
609	7345	4696
610	7357	4683
611	7369	4671
612	7381	4660
613	7394	4648
614	7406	4636
615	7417	4624
616	7429	4611
617	7441	4600
618	7453	4587
619	7465	4575
620	7477	4563
621	7489	4551
622	7500	4538
623	7512	4526
624	7524	4514
625	7536	4502
626	7547	4490
627	7558	4477
628	7569	4464
629	7581	4452
630	7591	4439
631	7602	4426
632	7612	4413
633	7624	4401
634	7634	4388
635	7646	4376
636	7659	4364
637	7671	4352
638	7684	4341
639	7696	4329
640	7708	4317
641	7720	4305
642	7732	4293
643	7745	4281
644	7757	4269
645	7769	4257
646	7781	4245
647	7793	4233
648	7806	4221
649	7818	4210
650	7829	4197
651	7841	4185
652	7853	4173
653	7865	4161
654	7877	4149
655	7889	4137
656	7901	4125
657	7914	4113
658	7927	4101
659	7939	4089
660	7951	4077
661	7962	4065
662	7974	4053
663	7986	4041
664	7998	4029
665	8010	4017
666	8022	4005
667	8034	3993
668	8046	3980
669	8057	3968
670	8068	3955
671	8079	3943
672	8090	3931
673	8102	3919
674	8113	3906
675	8124	3894
676	8135	3881
677	8146	3868
678	8157	3856
679	8169	3844
680	8181	3832
681	8194	3820
682	8206	3808
683	8218	3796
684	8230	3784
685	8242	3772
686	8255	3761
687	8267	3749
688	8278	3736
689	8290	3724
690	8303	3712
691	8315	3701
692	8328	3689
693	8339	3677
694	8351	3664
695	8363	3652
696	8375	3641
697	8387	3629
698	8399	3616
699	8411	3604
700	8422	3592
701	8434	3580
702	8446	3568
703	8458	3556
704	8470	3544
705	8482	3532
706	8494	3520
707	8506	3508
708	8518	3496
709	8530	3484
710	8542	3472
711	8554	3460
712	8565	3447
713	8576	3435
714	8587	3422
715	8598	3410
716	8608	3397
717	8620	3385
718	8631	3373
719	8642	3360
720	8652	3348
721	8664	3336
722	8676	3324
723	8688	3312
724	8701	3300
725	8712	3288
726	8724	3276
727	8737	3264
728	8749	3252
729	8761	3240
730	8772	3228
731	8784	3216
732	8796	3204
733	8808	3192
734	8819	3179
735	8831	3167
736	8843	3155
737	8856	3144
738	8868	3132
739	8880	3120
740	8892	3108
741	8904	3096
742	8916	3084
743	8929	3072
744	8942	3060
745	8955	3049
746	8967	3037
747	8979	3025
748	8991	3013
749	9003	3001
750	9016	2989
751	9028	2977
752	9040	2965
753	9052	2953
754	9063	2941
755	9075	2929
756	9086	2916
757	9098	2904
758	9109	2892
759	9120	2880
760	9130	2867
761	9142	2855
762	9152	2843
763	9164	2830
764	9176	2818
765	9189	2807
766	9201	2795
767	9213	2783
768	9226	2771
769	9238	2759
770	9250	2747
771	9262	2735
772	9274	2723
773	9287	2711
774	9299	2699
775	9310	2687
776	9322	2675
777	9334	2663
778	9347	2651
779	9358	2639
780	9370	2627
781	9383	2615
782	9394	2603
783	9406	2591
784	9419	2579
785	9431	2567
786	9443	2555
787	9455	2543
788	9466	2531
789	9478	2519
790	9490	2507
791	9502	2495
792	9514	2483
793	9526	2471
